	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000141391.13	98.6523746789216	-0.382229400988339	0.266102924519471	-1.43639684411049	0.150889450660868	0.361486623816602
ENSG00000141401.11	621.958280014278	2.20958770162946	0.179526625577465	12.307855141387	8.21781444869927e-35	1.3482049704366e-32
ENSG00000141404.15	77.429394506772	-0.461788458313817	0.273465437018613	-1.68865383263182	0.0912857878573716	0.256304760739137
ENSG00000141424.12	2508.43378147793	-0.17905922228632	0.0855517817218965	-2.09299232210485	0.0363498399489178	0.129001458026931
ENSG00000141425.17	658.594947019089	0.291789477712506	0.134064364364599	2.17648798094444	0.0295187914304479	0.110184399629283
ENSG00000141428.16	172.916226671838	-0.0242099025785688	0.178246087700885	-0.135822911407713	0.891961278219352	0.958615955243988
ENSG00000141429.13	1722.05768017145	-0.174119041463921	0.0955116472446675	-1.82301370028609	0.068301315918573	0.207658833681214
ENSG00000141431.11	33.6223591770365	-1.94865773137279	0.478405700874808	-4.07323267220582	4.63650634712875e-05	0.000474540044115306
ENSG00000141437.8	3.63172607119964	0.149201465678807	1.37448805191381	0.108550573045042	0.913558965989679	NA
ENSG00000141441.15	145.786885627766	0.197196621642163	0.20592054001522	0.957634540136639	0.338247075751547	0.592880126283271
ENSG00000141446.10	292.948428995116	0.0931809201886486	0.153173290090234	0.608336610996316	0.542964243980037	0.761748671707025
ENSG00000141447.17	1820.90203963742	-0.352606184078456	0.0942562130162402	-3.74093306737989	0.000183338345503821	0.00159375785644724
ENSG00000141448.8	153.633247288386	-0.660619054860137	0.216550018298122	-3.05065342433114	0.0022834398378212	0.0138245594233357
ENSG00000141449.14	1.95673313532565	1.32378763950665	1.75299416249694	0.75515804206733	0.450154160572632	NA
ENSG00000141452.9	378.479130108966	0.655265311236842	0.180904104401552	3.62216939966354	0.000292142700357762	0.00238823446398964
ENSG00000141456.14	802.159428005222	-0.0857763219467776	0.10903834876432	-0.786661967269681	0.431479773684161	0.675554495503632
ENSG00000141458.12	975.536031863833	0.716329490229376	0.16462471272037	4.35128771611664	1.35340316715462e-05	0.000158598379545976
ENSG00000141469.17	48.4653020949707	-2.92633725885533	0.672021124817052	-4.35453165203992	1.33351712658669e-05	0.000156597021728432
ENSG00000141480.17	142.267809343504	-0.245207714251596	0.205513279590983	-1.19314778460844	0.232811499996925	0.476576834279587
ENSG00000141485.16	18.467608934906	-0.214293989254312	0.526013447049914	-0.407392606512544	0.683719656337823	0.854319181412937
ENSG00000141497.13	10.1097821521217	0.122584613391005	0.749997513065613	0.163446693162942	0.870166741320883	0.94879904326599
ENSG00000141499.16	96.1446441203111	0.0486353800074095	0.250360827110993	0.194261141284087	0.845971410754214	0.935780248928784
ENSG00000141503.15	1786.58031092497	-0.0617802582275142	0.0838935693371719	-0.736412322370225	0.461479807842234	0.700726459119925
ENSG00000141504.11	685.486165000581	-0.151783082335406	0.124133643782308	-1.22273928091232	0.221428185515945	0.463089949992474
ENSG00000141505.11	9.95705886322178	-0.849308099053905	0.682758755024597	-1.24393585992655	0.213523170084853	0.453820848928506
ENSG00000141510.17	847.115120403336	-0.488490920224996	0.11559037713897	-4.22605179008717	2.37827277352198e-05	0.000259778176188752
ENSG00000141519.14	100.232543655105	-0.38711503574941	0.327808134173648	-1.18091955443773	0.237634682384889	0.482669839590244
ENSG00000141522.11	4542.94314879964	0.499569923047389	0.0858973014444975	5.81589775984041	6.03093212953334e-09	1.29886252581224e-07
ENSG00000141524.15	4.70394822331507	0.0420810743167427	1.09182257783061	0.0385420444412823	0.969255509754887	NA
ENSG00000141526.16	2084.66987652557	0.569920117617692	0.382910736945926	1.48838897066022	0.136648343563145	0.3383755993112
ENSG00000141527.17	20.785792703595	-0.0860132556458598	0.498714589655179	-0.172469900480215	0.863068122696446	0.944952995164162
ENSG00000141540.10	60.3277514332551	-0.698011865216157	0.327997823042147	-2.12809907926268	0.0333288696508803	0.120563187362263
ENSG00000141542.10	280.678882153949	-0.323300770890629	0.172219853717557	-1.8772560997575	0.0604830019451008	0.189927294905107
ENSG00000141543.10	1038.05046856267	0.220065980648454	0.105118558969252	2.09350263936575	0.0363043087041379	0.128902249491841
ENSG00000141551.14	3179.37174466604	-0.0208137380351194	0.0883545114038707	-0.235570744542735	0.813765777082171	0.921163262781103
ENSG00000141552.17	676.442134427932	0.260107034786576	0.112902073149863	2.30382868560187	0.0212322621845337	0.085863295932157
ENSG00000141556.20	1760.19440341036	-0.0744264717885287	0.120652214610949	-0.616867846384105	0.537321896565646	0.757788757933253
ENSG00000141560.14	470.01723016042	-0.0323604885355709	0.119165930438933	-0.271558224874971	0.78596172437509	0.907054034185707
ENSG00000141562.17	675.727763469584	-0.217267077250256	0.122504843569376	-1.77353866932792	0.0761394901482785	0.225332705217612
ENSG00000141564.14	705.267158545027	0.242488316956663	0.105063711890322	2.30801208708294	0.0209984642236225	0.0852263643749935
ENSG00000141568.20	886.156665912604	0.00838828351979688	0.098766915069965	0.0849300954054781	0.932316965545942	0.975033472768049
